CustomerID,DateOfBirth(age),ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Totalvisiting,DateofBirth,Date(birth),Month(birth),Year(birth),TypeofContact(Allias),NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,Gender,MaritalStatus(Allias)
200000,1984-01,1,41.0,Self Enquiry,3,6.0,Salaried,3.0,2015-04-28,28,4,2015,SE,3.0,Deluxe,3.0,Single,1.0,1,2,1,Manager,20993.0,Female,FS
200001,1976-01,0,49.0,Company Invited,1,14.0,Salaried,5.0,2010-02-19,19,2,2010,CI,4.0,Deluxe,4.0,Divorced,2.0,0,3,1,Manager,20130.0,Male,MD
200002,1988-01,1,37.0,Self Enquiry,1,8.0,Free Lancer,3.0,2013-09-11,11,9,2013,SE,4.0,Basic,3.0,Single,7.0,1,3,0,Executive,17090.0,Male,MS
200003,1992-01,0,33.0,Company Invited,1,9.0,Salaried,3.0,2011-11-12,12,11,2011,CI,3.0,Basic,3.0,Divorced,2.0,1,5,1,Executive,17909.0,Female,FD
200004,1989-01,0,36.0,Self Enquiry,1,8.0,Small Business,2.0,2014-01-19,19,1,2014,SE,3.0,Basic,4.0,Divorced,1.0,0,5,1,Executive,18468.0,Male,MD
200005,1993-01,0,32.0,Company Invited,1,8.0,Salaried,4.0,2010-11-28,28,11,2010,CI,3.0,Basic,3.0,Single,1.0,0,5,1,Executive,18068.0,Male,MS
200006,1966-01,0,59.0,Self Enquiry,1,9.0,Small Business,3.0,2014-01-11,11,1,2014,SE,2.0,Basic,5.0,Divorced,5.0,1,2,1,Executive,17670.0,Female,FD
200007,1995-01,0,30.0,Self Enquiry,1,30.0,Salaried,4.0,2011-04-19,19,4,2011,SE,3.0,Basic,3.0,Married,2.0,0,2,0,Executive,17693.0,Male,MM
200008,1987-01,0,38.0,Company Invited,1,29.0,Salaried,2.0,2013-05-20,20,5,2013,CI,4.0,Standard,3.0,Unmarried,1.0,0,3,0,Senior Manager,24526.0,Male,MU
200009,1989-01,0,36.0,Self Enquiry,1,33.0,Small Business,3.0,2013-08-11,11,8,2013,SE,3.0,Deluxe,3.0,Divorced,7.0,0,3,1,Manager,20237.0,Male,MD
