CustomerID,DateOfBirth(age),ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Totalvisiting,DateofBirth,Date(birth),Month(birth),Year(birth),TypeofContact(Allias)
200000,1984-01,1,41.0,Self Enquiry,3,6.0,Salaried,3.0,2015-04-28,28,4,2015,SE
200001,1976-01,0,49.0,Company Invited,1,14.0,Salaried,5.0,2010-02-19,19,2,2010,CI
200002,1988-01,1,37.0,Self Enquiry,1,8.0,Free Lancer,3.0,2013-09-11,11,9,2013,SE
200003,1992-01,0,33.0,Company Invited,1,9.0,Salaried,3.0,2011-11-12,12,11,2011,CI
200004,1989-01,0,36.0,Self Enquiry,1,8.0,Small Business,2.0,2014-01-19,19,1,2014,SE
200005,1993-01,0,32.0,Company Invited,1,8.0,Salaried,4.0,2010-11-28,28,11,2010,CI
200006,1966-01,0,59.0,Self Enquiry,1,9.0,Small Business,3.0,2014-01-11,11,1,2014,SE
200007,1995-01,0,30.0,Self Enquiry,1,30.0,Salaried,4.0,2011-04-19,19,4,2011,SE
200008,1987-01,0,38.0,Company Invited,1,29.0,Salaried,2.0,2013-05-20,20,5,2013,CI
200009,1989-01,0,36.0,Self Enquiry,1,33.0,Small Business,3.0,2013-08-11,11,8,2013,SE
200010,1990-01,0,35.0,Self Enquiry,1,22.0,Small Business,3.0,2010-11-05,5,11,2010,SE
200011,1989-01,0,36.0,Self Enquiry,1,21.0,Salaried,2.0,2013-01-29,29,1,2013,SE
200012,1994-01,0,31.0,Self Enquiry,1,32.0,Salaried,3.0,2013-10-16,16,10,2013,SE
200013,1991-01,0,34.0,Self Enquiry,1,25.0,Small Business,5.0,2012-09-25,25,9,2012,SE
200014,1997-01,1,28.0,Self Enquiry,1,30.0,Salaried,2.0,2013-06-03,3,6,2013,SE
200015,1996-01,0,29.0,Self Enquiry,1,27.0,Salaried,3.0,2014-11-07,7,11,2014,SE
200016,1993-01,0,32.0,Self Enquiry,1,11.0,Salaried,3.0,2015-06-23,23,6,2015,SE
200017,2003-01,0,22.0,Company Invited,1,22.0,Small Business,3.0,2012-04-12,12,4,2012,CI
200018,1972-01,0,53.0,Self Enquiry,3,8.0,Salaried,3.0,2011-04-20,20,4,2011,SE
200019,1989-01,0,36.0,Self Enquiry,1,8.0,Salaried,3.0,2012-04-18,18,4,2012,SE
200020,1989-01,0,36.0,Company Invited,1,17.0,Salaried,5.0,2012-08-29,29,8,2012,CI
200021,1989-01,1,36.0,Self Enquiry,3,15.0,Salaried,2.0,2013-08-21,21,8,2013,SE
200022,1991-01,0,34.0,Self Enquiry,1,13.0,Salaried,2.0,2014-05-04,4,5,2014,SE
200023,2004-01,0,21.0,Self Enquiry,1,21.0,Salaried,4.0,2014-05-26,26,5,2014,SE
200024,1991-01,1,34.0,Self Enquiry,1,12.0,Small Business,3.0,2013-02-06,6,2,2013,SE
