CustomerID,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,Gender,MaritalStatus(Allias)
200000,3.0,Deluxe,3.0,Single,1.0,1,2,1,Manager,20993.0,Female,FS
200001,4.0,Deluxe,4.0,Divorced,2.0,0,3,1,Manager,20130.0,Male,MD
200002,4.0,Basic,3.0,Single,7.0,1,3,0,Executive,17090.0,Male,MS
200003,3.0,Basic,3.0,Divorced,2.0,1,5,1,Executive,17909.0,Female,FD
200004,3.0,Basic,4.0,Divorced,1.0,0,5,1,Executive,18468.0,Male,MD
200005,3.0,Basic,3.0,Single,1.0,0,5,1,Executive,18068.0,Male,MS
200006,2.0,Basic,5.0,Divorced,5.0,1,2,1,Executive,17670.0,Female,FD
200007,3.0,Basic,3.0,Married,2.0,0,2,0,Executive,17693.0,Male,MM
200008,4.0,Standard,3.0,Unmarried,1.0,0,3,0,Senior Manager,24526.0,Male,MU
200009,3.0,Deluxe,3.0,Divorced,7.0,0,3,1,Manager,20237.0,Male,MD
200010,2.0,Basic,4.0,Divorced,1.0,0,3,1,Executive,17426.0,Male,MD
200011,4.0,Deluxe,3.0,Single,1.0,1,3,0,Manager,22347.0,Female,FS
200012,3.0,Basic,3.0,Married,2.0,0,3,0,Executive,17911.0,Male,MM
200013,3.0,Basic,3.0,Married,1.0,0,3,0,Executive,17661.0,Male,MM
200014,4.0,Basic,3.0,Single,6.0,1,2,0,Executive,17028.0,Male,MS
200015,2.0,Standard,5.0,Married,2.0,0,5,1,Senior Manager,24980.0,Female,FM
200016,2.0,Basic,4.0,Married,1.0,1,2,1,Executive,18298.0,Male,MM
200017,2.0,Basic,3.0,Married,2.0,1,3,0,Executive,17935.0,Male,MM
200018,4.0,Super Deluxe,3.0,Divorced,3.0,0,3,1,AVP,30427.0,Female,FD
200019,3.0,Basic,3.0,Single,6.0,1,4,0,Executive,22347.0,Male,MS
200020,2.0,Deluxe,3.0,Married,1.0,0,3,1,Manager,22347.0,Female,FM
200021,4.0,Deluxe,5.0,Single,1.0,0,2,0,Manager,18407.0,Male,MS
200022,3.0,Standard,4.0,Unmarried,1.0,0,3,1,Senior Manager,26994.0,Female,FU
200023,3.0,Basic,3.0,Single,2.0,0,3,1,Executive,16232.0,Male,MS
200024,3.0,Basic,5.0,Single,3.0,0,2,1,Executive,17960.0,Male,MS
200025,3.0,King,3.0,Married,5.0,0,5,0,VP,34094.0,Female,FM
200026,5.0,Basic,5.0,Single,2.0,1,4,1,Executive,22347.0,Female,FS
200027,3.0,Deluxe,4.0,Divorced,1.0,0,3,0,Manager,21825.0,Male,MD
200028,4.0,Standard,3.0,Divorced,4.0,0,4,1,Senior Manager,25248.0,Female,FD
200029,3.0,King,5.0,Single,4.0,0,2,0,VP,33947.0,Female,FS
200030,3.0,Basic,3.0,Single,5.0,0,3,1,Executive,17496.0,Male,MS
200031,3.0,Deluxe,3.0,Divorced,3.0,1,3,1,Manager,21465.0,Male,MD
200032,4.0,Basic,3.0,Single,2.0,0,4,1,Executive,17206.0,Male,MS
200033,3.0,Deluxe,3.0,Divorced,4.0,0,2,0,Manager,17086.0,Male,MD
200034,3.0,Basic,3.0,Divorced,3.0,1,3,1,Executive,17293.0,Male,MD
200035,2.0,Basic,3.0,Married,2.0,0,2,0,Executive,17645.0,Female,FM
200036,4.0,Basic,3.0,Divorced,2.0,1,4,0,Executive,17683.0,Male,MD
200037,3.0,Basic,3.0,Divorced,2.0,0,2,1,Executive,17014.0,Female,FD
200038,4.0,Basic,3.0,Divorced,1.0,1,2,1,Executive,95000.0,Female,FD
200039,2.0,Deluxe,5.0,Divorced,3.0,0,3,1,Manager,20376.0,Female,FD
200040,3.0,Basic,3.0,Married,2.0,0,4,0,Executive,16951.0,Male,MM
200041,3.0,Basic,5.0,Married,2.0,0,3,0,Executive,17341.0,Female,FM
200042,5.0,Basic,3.0,Single,2.0,0,2,1,Executive,17293.0,Male,MS
200043,3.0,Standard,3.0,Unmarried,2.0,0,2,1,Senior Manager,23726.0,Male,MU
200044,3.0,Deluxe,3.0,Single,2.0,0,3,1,Manager,22347.0,Female,FS
200045,3.0,King,3.0,Divorced,2.0,0,4,1,VP,34545.0,Female,FD
200046,3.0,Deluxe,3.0,Single,1.0,0,5,1,Manager,19568.0,Male,MS
200047,3.0,Basic,4.0,Divorced,5.0,0,4,1,Executive,18022.0,Male,MD
200048,3.0,Deluxe,3.0,Single,5.0,1,5,1,Manager,20772.0,Male,MS
200049,2.0,Basic,3.0,Divorced,2.0,0,5,1,Executive,17269.0,Male,MD
200050,4.0,Standard,3.0,Single,1.0,1,5,0,Senior Manager,20381.0,Male,MS
200051,3.0,Basic,3.0,Single,2.0,1,2,1,Executive,18441.0,Male,MS
200052,3.0,Deluxe,5.0,Married,6.0,1,2,0,Manager,20454.0,Female,FM
200053,4.0,Standard,5.0,Divorced,3.0,1,5,1,Senior Manager,24884.0,Male,MD
200054,4.0,Deluxe,3.0,Divorced,1.0,1,2,1,Manager,22347.0,Female,FD
200055,3.0,Standard,3.0,Unmarried,2.0,1,2,1,Senior Manager,28458.0,Female,FU
200056,3.0,Standard,5.0,Divorced,2.0,0,4,1,Senior Manager,24069.0,Male,MD
200057,3.0,Basic,5.0,Divorced,4.0,1,4,1,Executive,22347.0,Female,FD
200058,3.0,Deluxe,3.0,Married,4.0,0,3,1,Manager,20915.0,Male,MM
200059,4.0,Deluxe,3.0,Married,2.0,0,5,1,Manager,20993.0,Male,MM
200060,3.0,Deluxe,3.0,Divorced,2.0,1,4,1,Manager,21162.0,Male,MD
200061,3.0,Deluxe,3.0,Single,2.0,0,3,1,Manager,17406.0,Female,FS
200062,4.0,King,3.0,Married,6.0,1,4,1,VP,33740.0,Female,FM
200063,3.0,Standard,5.0,Unmarried,1.0,0,3,1,Senior Manager,22637.0,Female,FU
200064,3.0,Standard,3.0,Married,2.0,0,4,1,Senior Manager,25096.0,Female,FM
200065,3.0,Super Deluxe,3.0,Married,3.0,1,3,0,AVP,29756.0,Female,FM
200066,4.0,Deluxe,4.0,Unmarried,2.0,0,4,1,Manager,21499.0,Male,MU
200067,3.0,Standard,5.0,Married,3.0,0,3,1,Senior Manager,24724.0,Male,MM
200068,3.0,Basic,5.0,Divorced,5.0,0,2,0,Executive,17194.0,Male,MD
200069,4.0,Basic,3.0,Divorced,1.0,1,2,0,Executive,18388.0,Male,MD
200070,4.0,Deluxe,3.0,Single,1.0,0,5,1,Manager,20473.0,Female,FS
200071,3.0,Basic,4.0,Divorced,1.0,0,4,0,Executive,17703.0,Male,MD
200072,3.0,Basic,4.0,Single,2.0,0,3,0,Executive,17501.0,Male,MS
200073,3.0,Deluxe,4.0,Divorced,2.0,0,3,0,Manager,21220.0,Male,MD
200074,2.0,Deluxe,3.0,Divorced,4.0,0,2,0,Manager,18038.0,Female,FD
200075,3.0,Deluxe,3.0,Single,2.0,0,5,0,Manager,22347.0,Female,FS
200076,4.0,Deluxe,5.0,Single,1.0,0,2,0,Manager,22347.0,Male,MS
200077,3.0,Standard,5.0,Divorced,5.0,1,3,0,Senior Manager,28245.0,Male,MD
200078,3.0,Standard,3.0,Single,5.0,0,2,0,Senior Manager,28664.0,Male,MS
200079,4.0,Deluxe,4.0,Married,1.0,1,5,0,Manager,20021.0,Male,MM
200080,4.0,Deluxe,3.0,Divorced,2.0,1,2,1,Manager,20126.0,Male,MD
200081,4.0,Basic,3.0,Single,2.0,0,4,1,Executive,17859.0,Male,MS
200082,3.0,Standard,3.0,Divorced,4.0,0,2,0,Senior Manager,25239.0,Male,MD
200083,5.0,Deluxe,3.0,Married,1.0,1,2,0,Manager,20329.0,Female,FM
200084,3.0,Deluxe,4.0,Divorced,2.0,0,5,0,Manager,22347.0,Male,MD
200085,5.0,Standard,3.0,Unmarried,5.0,0,2,0,Senior Manager,22260.0,Male,MU
200086,3.0,Basic,5.0,Married,4.0,0,3,1,Executive,17322.0,Male,MM
200087,3.0,Basic,3.0,Divorced,4.0,0,3,1,Executive,17075.0,Male,MD
200088,4.0,Deluxe,3.0,Divorced,2.0,0,4,1,Manager,22347.0,Male,MD
200089,4.0,Standard,3.0,Unmarried,2.0,0,5,0,Senior Manager,24619.0,Male,MU
200090,4.0,Super Deluxe,4.0,Divorced,2.0,0,2,1,AVP,28503.0,Male,MD
200091,3.0,Deluxe,3.0,Single,1.0,1,5,1,Manager,20441.0,Male,MS
200092,4.0,Deluxe,4.0,Married,2.0,1,3,1,Manager,20209.0,Female,FM
200093,4.0,Standard,5.0,Divorced,3.0,1,2,1,Senior Manager,25673.0,Male,MD
200094,4.0,Deluxe,3.0,Single,2.0,0,5,1,Manager,20010.0,Male,MS
200095,3.0,Standard,3.0,Divorced,1.0,0,4,1,Senior Manager,28549.0,Female,FD
200096,4.0,Deluxe,3.0,Divorced,1.0,0,4,1,Manager,19999.0,Female,FD
200097,3.0,Deluxe,3.0,Divorced,2.0,0,2,1,Manager,22347.0,Male,MD
200098,3.0,Super Deluxe,3.0,Single,1.0,0,3,1,AVP,28872.0,Male,MS
200099,3.0,Deluxe,4.0,Divorced,5.0,0,3,1,Manager,17042.0,Male,MD
200100,3.0,Basic,5.0,Married,5.0,1,2,1,Executive,17073.0,Male,MM
200101,3.0,Basic,5.0,Single,2.0,0,2,0,Executive,17956.0,Male,MS
200102,4.0,Basic,3.0,Single,2.0,1,2,1,Executive,17926.0,Female,FS
200103,3.0,Deluxe,3.0,Single,2.0,0,3,1,Manager,19809.0,Female,FS
200104,4.0,Deluxe,3.0,Married,6.0,0,2,0,Manager,20163.0,Male,MM
200105,4.0,King,3.0,Divorced,1.0,0,2,1,VP,33844.0,Female,FD
200106,3.0,King,4.0,Divorced,4.0,1,2,0,VP,33172.0,Female,FD
200107,4.0,Deluxe,3.0,Single,2.0,1,3,1,Manager,20744.0,Male,MS
200108,4.0,Basic,3.0,Divorced,2.0,0,2,1,Executive,17889.0,Male,MD
200109,3.0,Basic,3.0,Single,2.0,0,2,1,Executive,17871.0,Female,FS
200110,4.0,Standard,5.0,Unmarried,4.0,0,2,1,Senior Manager,22484.0,Female,FU
200111,5.0,Deluxe,3.0,Single,2.0,1,5,1,Manager,21074.0,Male,MS
200112,2.0,Super Deluxe,3.0,Single,3.0,1,3,1,AVP,32328.0,Female,FS
200113,3.0,Basic,3.0,Divorced,1.0,0,4,1,Executive,17774.0,Male,MD
200114,4.0,Deluxe,4.0,Married,7.0,0,3,0,Manager,19505.0,Female,FM
200115,3.0,Standard,3.0,Unmarried,3.0,0,3,0,Senior Manager,22428.0,Male,MU
200116,4.0,Standard,5.0,Unmarried,3.0,0,2,0,Senior Manager,26631.0,Female,FU
200117,3.0,Standard,3.0,Divorced,1.0,0,5,0,Senior Manager,24738.0,Female,FD
200118,3.0,Basic,3.0,Married,6.0,0,2,1,Executive,17835.0,Female,FM
200119,3.0,Super Deluxe,3.0,Divorced,2.0,1,2,0,AVP,31959.0,Male,MD
200120,5.0,Basic,3.0,Married,2.0,0,3,1,Executive,17613.0,Male,MM
200121,3.0,Deluxe,4.0,Divorced,1.0,0,2,0,Manager,21146.0,Male,MD
200122,4.0,Basic,4.0,Divorced,1.0,1,5,1,Executive,19963.0,Female,FD
200123,3.0,King,3.0,Single,1.0,0,5,1,VP,34537.0,Male,MS
200124,5.0,Deluxe,3.0,Divorced,5.0,1,3,1,Manager,21172.0,Male,MD
200125,4.0,Basic,4.0,Divorced,2.0,0,3,1,Executive,17368.0,Female,FD
200126,3.0,Standard,3.0,Divorced,2.0,0,3,1,Senior Manager,25312.0,Female,FD
200127,3.0,Basic,3.0,Single,2.0,1,2,0,Executive,16675.0,Male,MS
200128,3.0,Basic,3.0,Divorced,1.0,0,5,1,Executive,17523.0,Male,MD
200129,3.0,Deluxe,5.0,Divorced,2.0,0,2,1,Manager,21567.0,Female,FD
200130,2.0,Basic,3.0,Single,5.0,0,3,0,Executive,19739.0,Female,FS
200131,3.0,Standard,3.0,Unmarried,5.0,0,5,0,Senior Manager,24208.0,Female,FU
200132,5.0,Deluxe,3.0,Divorced,4.0,1,3,1,Manager,19559.0,Female,FD
200133,3.0,Standard,3.0,Married,4.0,1,2,0,Senior Manager,23189.0,Male,MM
200134,3.0,Basic,3.0,Divorced,2.0,0,4,1,Executive,17942.0,Female,FD
200135,4.0,Deluxe,4.0,Married,7.0,0,4,1,Manager,19941.0,Male,MM
200136,5.0,Standard,3.0,Unmarried,3.0,0,2,0,Senior Manager,25650.0,Male,MU
200137,4.0,Deluxe,3.0,Divorced,5.0,0,5,1,Manager,20902.0,Female,FD
200138,4.0,Deluxe,3.0,Divorced,3.0,0,4,0,Manager,23639.0,Male,MD
200139,3.0,Deluxe,3.0,Divorced,1.0,1,3,1,Manager,21347.0,Male,MD
200140,3.0,Basic,5.0,Single,1.0,0,4,1,Executive,22347.0,Female,FS
200141,3.0,Basic,3.0,Single,6.0,0,2,1,Executive,18452.0,Male,MS
200142,3.0,Deluxe,3.0,Single,4.0,1,5,0,Manager,1000.0,Female,FS
200143,3.0,Basic,3.0,Single,2.0,0,2,1,Executive,17632.0,Female,FS
200144,5.0,Deluxe,3.0,Married,1.0,0,2,0,Manager,19668.0,Male,MM
200145,3.0,Basic,5.0,Married,6.0,0,5,1,Executive,18204.0,Female,FM
200146,4.0,Basic,3.0,Single,1.0,0,4,0,Executive,17720.0,Male,MS
200147,4.0,Super Deluxe,5.0,Married,5.0,0,2,1,AVP,32181.0,Male,MM
200148,3.0,Basic,5.0,Divorced,3.0,0,2,0,Executive,17238.0,Male,MD
200149,3.0,Basic,4.0,Single,2.0,0,3,1,Executive,16483.0,Female,FS
200150,3.0,Deluxe,4.0,Married,2.0,0,2,1,Manager,20605.0,Female,FM
200151,3.0,Standard,4.0,Divorced,2.0,0,4,1,Senior Manager,22295.0,Male,MD
200152,3.0,Deluxe,3.0,Divorced,3.0,1,5,0,Manager,17306.0,Male,MD
200153,3.0,Deluxe,4.0,Married,1.0,0,4,1,Manager,17348.0,Male,MM
200154,3.0,Standard,3.0,Unmarried,2.0,0,4,1,Senior Manager,23998.0,Female,FU
200155,3.0,Deluxe,3.0,Divorced,2.0,0,3,0,Manager,22347.0,Male,MD
200156,4.0,Deluxe,3.0,Divorced,3.0,0,3,1,Manager,21132.0,Male,MD
200157,4.0,Basic,4.0,Divorced,5.0,1,2,1,Executive,18346.0,Female,FD
200158,4.0,Standard,3.0,Divorced,1.0,0,2,1,Senior Manager,25855.0,Male,MD
200159,3.0,Basic,3.0,Divorced,7.0,0,5,1,Executive,17231.0,Female,FD
200160,3.0,Basic,3.0,Divorced,2.0,0,2,0,Executive,17323.0,Male,MD
200161,3.0,Basic,4.0,Married,7.0,0,3,0,Executive,17024.0,Male,MM
200162,3.0,Basic,3.0,Divorced,2.0,0,2,0,Executive,17713.0,Male,MD
200163,2.0,Standard,3.0,Married,4.0,1,4,1,Senior Manager,24439.0,Male,MM
200164,4.0,Basic,3.0,Married,2.0,1,2,0,Executive,17566.0,Male,MM
200165,3.0,King,4.0,Single,4.0,0,5,1,VP,34926.0,Female,FS
200166,3.0,Basic,3.0,Married,5.0,0,4,1,Executive,17451.0,Male,MM
200167,3.0,Standard,3.0,Divorced,3.0,0,4,1,Senior Manager,24419.0,Female,FD
200168,4.0,Deluxe,3.0,Unmarried,5.0,0,2,1,Manager,23686.0,Female,FU
200169,3.0,Basic,3.0,Single,4.0,0,2,0,Executive,18038.0,Male,MS
200170,3.0,Basic,4.0,Divorced,1.0,1,4,1,Executive,18058.0,Male,MD
200171,5.0,Basic,5.0,Single,1.0,0,3,1,Executive,17325.0,Female,FS
200172,3.0,Basic,4.0,Single,5.0,0,4,1,Executive,17088.0,Male,MS
200173,3.0,Deluxe,5.0,Married,2.0,0,2,0,Manager,18072.0,Male,MM
200174,4.0,Deluxe,5.0,Married,5.0,1,4,0,Manager,20006.0,Female,FM
200175,3.0,Basic,5.0,Married,5.0,1,4,1,Executive,22347.0,Female,FM
200176,3.0,Basic,3.0,Single,1.0,0,3,0,Executive,17500.0,Male,MS
200177,4.0,Basic,3.0,Single,2.0,0,5,0,Executive,16102.0,Male,MS
200178,3.0,Standard,5.0,Married,2.0,0,2,1,Senior Manager,25453.0,Female,FM
200179,3.0,Basic,3.0,Single,2.0,0,2,1,Executive,17288.0,Female,FS
200180,3.0,Basic,3.0,Divorced,1.0,1,4,1,Executive,22347.0,Female,FD
200181,3.0,Basic,4.0,Single,3.0,0,3,1,Executive,17311.0,Female,FS
200182,3.0,Basic,4.0,Single,2.0,1,4,0,Executive,18140.0,Female,FS
200183,4.0,Basic,3.0,Divorced,3.0,0,3,0,Executive,18690.0,Male,MD
200184,2.0,Deluxe,5.0,Married,2.0,0,2,1,Manager,22347.0,Female,FM
200185,3.0,Basic,4.0,Divorced,2.0,0,5,0,Executive,17756.0,Female,FD
200186,3.0,King,3.0,Divorced,2.0,0,5,0,VP,34033.0,Female,FD
200187,2.0,King,4.0,Single,1.0,0,2,0,VP,33722.0,Male,MS
200188,4.0,Deluxe,3.0,Divorced,2.0,0,4,0,Manager,24547.0,Male,MD
200189,3.0,Super Deluxe,4.0,Single,4.0,0,5,0,AVP,28734.0,Female,FS
200190,4.0,King,3.0,Divorced,1.0,0,2,1,VP,34999.0,Male,MD
200191,3.0,Basic,4.0,Single,2.0,0,3,1,Executive,17279.0,Female,FS
200192,4.0,Deluxe,3.0,Divorced,4.0,1,4,1,Manager,20916.0,Male,MD
200193,2.0,Basic,3.0,Married,5.0,0,4,0,Executive,17089.0,Male,MM
200194,4.0,Super Deluxe,3.0,Divorced,1.0,0,4,1,AVP,31792.0,Male,MD
200195,2.0,Basic,5.0,Divorced,2.0,1,3,0,Executive,18564.0,Male,MD
200196,3.0,Deluxe,4.0,Single,6.0,0,2,1,Manager,22347.0,Female,FS
200197,3.0,Deluxe,3.0,Married,3.0,0,2,0,Manager,20265.0,Female,FM
200198,3.0,Deluxe,3.0,Divorced,1.0,0,2,0,Manager,21553.0,Male,MD
200199,3.0,Deluxe,3.0,Divorced,4.0,0,2,0,Manager,21261.0,Male,MD
200200,4.0,Deluxe,5.0,Divorced,6.0,0,3,0,Manager,22347.0,Male,MD
200201,3.0,Deluxe,3.0,Married,2.0,1,2,0,Manager,21804.0,Male,MM
200202,3.0,Basic,3.0,Married,2.0,1,3,1,Executive,22347.0,Male,MM
200203,3.0,Deluxe,3.0,Divorced,1.0,1,2,1,Manager,17741.0,Male,MD
200204,3.0,Deluxe,5.0,Divorced,1.0,1,3,0,Manager,21673.0,Male,MD
200205,3.0,Standard,3.0,Divorced,2.0,0,3,1,Senior Manager,22639.0,Female,FD
200206,2.0,Basic,4.0,Married,2.0,1,4,0,Executive,17328.0,Male,MM
200207,3.0,Basic,3.0,Single,2.0,0,3,1,Executive,17153.0,Female,FS
200208,4.0,Deluxe,3.0,Divorced,1.0,0,5,1,Manager,19876.0,Male,MD
200209,3.0,Standard,5.0,Married,1.0,0,2,0,Senior Manager,24396.0,Male,MM
200210,5.0,Standard,3.0,Divorced,2.0,0,2,1,Senior Manager,25400.0,Male,MD
200211,4.0,Standard,3.0,Unmarried,2.0,0,5,1,Senior Manager,23474.0,Male,MU
200212,3.0,Deluxe,3.0,Unmarried,2.0,0,2,1,Manager,24981.0,Female,FU
200213,4.0,Standard,4.0,Divorced,6.0,0,3,1,Senior Manager,27490.0,Male,MD
200214,3.0,Basic,5.0,Single,6.0,1,4,1,Executive,17657.0,Female,FS
200215,3.0,Standard,3.0,Single,4.0,1,2,0,Senior Manager,28591.0,Female,FS
200216,4.0,Deluxe,5.0,Unmarried,6.0,0,2,0,Manager,21696.0,Female,FU
200217,3.0,Basic,3.0,Single,1.0,0,2,0,Executive,17058.0,Male,MS
200218,4.0,Standard,3.0,Unmarried,7.0,0,4,1,Senior Manager,23865.0,Female,FU
200219,3.0,Deluxe,5.0,Divorced,3.0,0,4,1,Manager,20940.0,Female,FD
200220,3.0,Deluxe,4.0,Single,1.0,0,2,0,Manager,20914.0,Male,MS
200221,4.0,Basic,4.0,Divorced,7.0,0,4,0,Executive,17622.0,Female,FD
200222,3.0,Standard,3.0,Married,2.0,1,3,0,Senior Manager,27185.0,Male,MM
200223,3.0,Standard,3.0,Married,1.0,0,2,1,Senior Manager,25609.0,Male,MM
200224,5.0,Deluxe,3.0,Divorced,1.0,0,3,1,Manager,22347.0,Male,MD
200225,4.0,Basic,3.0,Divorced,4.0,0,3,0,Executive,17177.0,Male,MD
200226,3.0,Basic,3.0,Married,5.0,0,4,1,Executive,17177.0,Male,MM
200227,3.0,Standard,3.0,Divorced,2.0,0,3,1,Senior Manager,22918.0,Female,FD
200228,3.0,Standard,3.0,Unmarried,2.0,0,5,1,Senior Manager,23789.0,Female,FU
200229,4.0,Basic,3.0,Single,2.0,1,3,0,Executive,17389.0,Male,MS
200230,4.0,Basic,3.0,Single,1.0,0,3,0,Executive,18212.0,Female,FS
200231,3.0,King,3.0,Divorced,2.0,0,2,0,VP,34232.0,Male,MD
200232,3.0,Basic,3.0,Divorced,1.0,0,4,1,Executive,17267.0,Male,MD
200233,3.0,King,3.0,Married,4.0,0,2,1,VP,34517.0,Female,FM
200234,3.0,Basic,3.0,Divorced,6.0,1,2,0,Executive,17436.0,Male,MD
200235,3.0,Super Deluxe,3.0,Divorced,6.0,1,3,0,AVP,31064.0,Female,FD
200236,3.0,Basic,5.0,Divorced,1.0,0,3,1,Executive,17707.0,Female,FD
200237,4.0,King,3.0,Single,2.0,1,2,1,VP,34068.0,Male,MS
200238,3.0,Basic,4.0,Divorced,3.0,0,3,1,Executive,22347.0,Female,FD
200239,4.0,Basic,3.0,Single,1.0,1,5,1,Executive,22347.0,Male,MS
200240,3.0,Basic,3.0,Married,1.0,0,3,0,Executive,17232.0,Female,FM
200241,3.0,Deluxe,3.0,Divorced,1.0,0,4,1,Manager,22347.0,Male,MD
200242,3.0,Deluxe,5.0,Married,3.0,0,2,1,Manager,18072.0,Male,MM
200243,3.0,Deluxe,3.0,Married,2.0,0,3,1,Manager,18319.0,Male,MM
200244,2.0,King,3.0,Divorced,1.0,0,4,1,VP,34202.0,Male,MD
200245,3.0,Standard,3.0,Married,1.0,0,4,1,Senior Manager,28675.0,Male,MM
200246,4.0,Basic,3.0,Divorced,2.0,0,2,0,Executive,17911.0,Female,FD
200247,4.0,Deluxe,5.0,Divorced,7.0,0,4,0,Manager,20957.0,Male,MD
200248,4.0,Basic,5.0,Divorced,3.0,0,4,1,Executive,22347.0,Female,FD
200249,2.0,Deluxe,3.0,Divorced,5.0,0,2,0,Manager,21434.0,Male,MD
200250,3.0,Standard,3.0,Married,7.0,0,3,1,Senior Manager,25048.0,Male,MM
200251,3.0,Standard,3.0,Unmarried,1.0,0,2,1,Senior Manager,25938.0,Female,FU
200252,3.0,Basic,3.0,Single,2.0,0,3,0,Executive,17340.0,Male,MS
200253,2.0,Deluxe,5.0,Unmarried,4.0,1,2,0,Manager,21545.0,Female,FU
200254,3.0,Deluxe,3.0,Married,3.0,0,2,1,Manager,21931.0,Male,MM
200255,3.0,Deluxe,3.0,Divorced,1.0,0,3,1,Manager,19898.0,Female,FD
200256,4.0,Basic,5.0,Married,1.0,1,4,1,Executive,17593.0,Female,FM
200257,3.0,King,3.0,Married,1.0,0,5,0,VP,34436.0,Male,MM
200258,3.0,Basic,3.0,Divorced,2.0,0,4,1,Executive,17723.0,Male,MD
200259,4.0,Basic,4.0,Single,1.0,0,3,1,Executive,18479.0,Male,MS
200260,2.0,Basic,4.0,Divorced,2.0,0,2,0,Executive,17794.0,Male,MD
200261,4.0,Deluxe,3.0,Divorced,4.0,0,5,1,Manager,20249.0,Male,MD
200262,4.0,Deluxe,5.0,Single,5.0,0,4,0,Manager,17176.0,Male,MS
200263,5.0,Super Deluxe,4.0,Divorced,4.0,1,5,1,AVP,31872.0,Female,FD
200264,3.0,Basic,3.0,Single,3.0,0,4,1,Executive,18485.0,Male,MS
200265,4.0,Deluxe,4.0,Divorced,3.0,0,4,0,Manager,21644.0,Male,MD
200266,4.0,Deluxe,3.0,Divorced,1.0,0,3,1,Manager,20582.0,Male,MD
200267,2.0,Deluxe,5.0,Married,2.0,0,5,1,Manager,22347.0,Male,MM
200268,3.0,Super Deluxe,3.0,Divorced,1.0,1,3,0,AVP,28496.0,Male,MD
200269,3.0,Basic,3.0,Divorced,1.0,0,5,1,Executive,18210.0,Male,MD
200270,3.0,King,5.0,Single,1.0,1,2,1,VP,34045.0,Male,MS
