CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting
200000,1,41,Self Enquiry,3,6,Salaried,Female,3
200001,0,49,Company Invited,1,14,Salaried,Male,3
200002,1,37,Self Enquiry,1,8,Free Lancer,Male,3
200003,0,33,Company Invited,1,9,Salaried,Female,2
200004,0,,Self Enquiry,1,8,Small Business,Male,2
200005,0,32,Company Invited,1,8,Salaried,Male,3
200006,0,59,Self Enquiry,1,9,Small Business,Female,2
200007,0,30,Self Enquiry,1,30,Salaried,Male,3
200008,0,38,Company Invited,1,29,Salaried,Male,2
200009,0,36,Self Enquiry,1,33,Small Business,Male,3
200010,0,35,Self Enquiry,1,22,Small Business,Male,2
200011,0,,Self Enquiry,1,21,Salaried,Female,2
200012,0,31,Self Enquiry,1,32,Salaried,Male,2
200013,0,34,Self Enquiry,1,25,Small Business,Male,3
200014,1,28,Self Enquiry,1,30,Salaried,Male,2
200015,0,29,Self Enquiry,1,27,Salaried,Female,2
200016,0,32,Self Enquiry,1,11,Salaried,Male,3
200017,0,22,Company Invited,1,22,Small Business,Male,3
200018,0,53,Self Enquiry,3,8,Salaried,Female,3
200019,0,,Self Enquiry,1,8,Salaried,Male,2
200020,0,,Company Invited,1,17,Salaried,Female,3
200021,1,,Self Enquiry,3,15,Salaried,Male,2
200022,0,34,Self Enquiry,1,13,Salaried,Fe Male,2
200023,0,21,Self Enquiry,1,21,Salaried,Male,3
200024,1,34,Self Enquiry,1,12,Small Business,Male,2
200025,0,53,Self Enquiry,1,11,Salaried,Female,2
200026,1,,Company Invited,1,22,Salaried,Female,3
200027,0,42,Self Enquiry,3,14,Small Business,Male,2
200028,0,44,Self Enquiry,1,13,Small Business,Female,2
200029,0,46,Self Enquiry,3,8,Small Business,Female,2
200030,0,33,Self Enquiry,1,8,Small Business,Male,3
200031,0,44,Self Enquiry,1,16,Salaried,Male,2
200032,0,30,Self Enquiry,1,15,Small Business,Male,2
200033,1,39,Self Enquiry,3,11,Large Business,Male,2
200034,1,24,Self Enquiry,1,6,Small Business,Male,3
200035,0,43,Self Enquiry,1,8,Small Business,Female,3
200036,1,50,Self Enquiry,3,9,Small Business,Male,2
200037,0,35,Self Enquiry,3,8,Small Business,Female,3
200038,0,36,Self Enquiry,1,11,Salaried,Female,2
200039,0,33,Company Invited,3,6,Salaried,Female,2
