CustomerID,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
200000,3,Deluxe,3,Single,1,1,2,1,0,Manager,20993
200001,4,Deluxe,4,Divorced,2,0,3,1,2,Manager,20130
200002,4,Basic,3,Single,7,1,3,0,0,Executive,17090
200003,3,Basic,3,Divorced,2,1,5,1,1,Executive,17909
200004,3,Basic,4,Divorced,1,0,5,1,0,Executive,18468
200005,3,Basic,3,Single,1,0,5,1,1,Executive,18068
200006,2,Basic,5,Divorced,5,1,2,1,1,Executive,17670
200007,3,Basic,3,Married,2,0,2,0,1,Executive,17693
200008,4,Standard,3,Unmarried,1,0,3,0,0,Senior Manager,24526
200009,3,Deluxe,3,Divorced,7,0,3,1,0,Manager,20237
200010,2,Basic,4,Divorced,1,0,3,1,1,Executive,17426
200011,4,Deluxe,3,Single,1,1,3,0,0,Manager,
200012,3,Basic,3,Married,2,0,3,0,1,Executive,17911
200013,3,Basic,3,Married,1,0,3,0,2,Executive,17661
200014,4,Basic,3,Single,6,1,2,0,0,Executive,17028
200015,2,Standard,5,Married,2,0,5,1,1,Senior Manager,24980
200016,2,Basic,4,Married,1,1,2,1,0,Executive,18298
200017,2,Basic,3,Married,2,1,3,0,0,Executive,17935
200018,4,Super Deluxe,3,Divorced,3,0,3,1,0,AVP,30427
200019,3,Basic,3,Single,6,1,4,0,1,Executive,
200020,2,Deluxe,3,Married,1,0,3,1,2,Manager,
200021,4,Deluxe,5,Single,1,0,2,0,0,Manager,18407
200022,3,Standard,4,Unmarried,1,0,3,1,0,Senior Manager,26994
200023,3,Basic,3,Single,2,0,3,1,1,Executive,16232
200024,3,Basic,5,Single,3,0,2,1,1,Executive,17960
200025,3,King,3,Married,5,0,5,0,1,VP,34094
200026,5,Basic,5,Single,2,1,4,1,2,Executive,
200027,3,Deluxe,4,Divorced,1,0,3,0,1,Manager,21825
200028,4,Standard,3,Divorced,4,0,4,1,0,Senior Manager,25248
200029,3,King,5,Single,4,0,2,0,1,VP,33947
200030,3,Basic,3,Single,5,0,3,1,2,Executive,17496
200031,3,Deluxe,3,Divorced,3,1,3,1,1,Manager,21465
200032,4,Basic,3,Single,2,0,4,1,1,Executive,17206
200033,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,17086
200034,3,Basic,3,Divorced,3,1,3,1,2,Executive,17293
200035,2,Basic,3,Married,2,0,2,0,1,Executive,17645
200036,4,Basic,3,Divorced,2,1,4,0,0,Executive,17683
200037,3,Basic,3,Divorced,2,0,2,1,0,Executive,17014
200038,4,Basic,,Divorced,1,1,2,1,0,Executive,95000
